Word,Count
,1
Web,1
currently,1
founder,1
from,1
Amazon's,1
executive,1
results,1
month,1
hiring,1
planning,1
through,1
—,1
cuts,3
still,1
its,4
staff,2
We,1
office,1
surged,1
"50,000",1
to,6
going,1
2018,1
Services,1
2017,2
Restaurants,1
resources,1
division,1
them,2
affected,1
fourth,1
seeking,1
food,1
familiar,1
online,1
Amazon’s,1
cutting,1
spur,1
condition,1
areas,4
down,1
"130,000",1
like,4
tear,1
teams,1
specific,1
Foods,1
magnitude,1
Bezos,1
businesses,1
Seattle,3
where,1
square,1
often,1
deal,1
acquired,1
some,1
cloud-computing,1
second,1
are,2
year,2
Seattle-based,1
projections,1
facing,1
said,4
for,6
That,1
profit,1
<AMZN.O>,1
Amazon,8
Amazon.com,1
new,1
America,1
apply,1
we,1
jobs,5
creating,1
business,2
million,1
hundreds,2
reported,1
job,3
become,1
contracts,1
North,1
Times,1
Whole,1
by,1
on,4
full-time,1
quarter,1
rare,1
service,1
of,8
employees,2
space,1
Market,1
assistant,1
surprises,1
retail,1
or,2
unclear,1
don’t,1
very,2
into,1
retailer,1
expect,1
soaring,1
But,1
66,1
anonymity,1
open,2
city,1
Alexa,3
consumers',1
Monday,1
positive,1
there,1
world's,1
been,1
chief,1
much,1
low,1
statement,1
was,2
more,3
billion,1
shopping,1
that,1
company,3
delivery,1
part,1
lives,1
far,1
hopes,1
(Reuters),1
with,1
hire,1
has,3
last,1
announcing,1
Jeff,1
this,2
double,1
inside,1
work,1
up,1
us,1
will,2
matter,1
determined,1
can,1
mature,1
were,2
Our,1
voice,2
"566,000",1
Inc,1
and,7
marketplace,1
sees,1
figure,1
computing,1
certain,1
is,1
exceeded,1
it,1
headquarters,1
as,4
anticipating,1
in,10
orders,1
no,1
percent,1
voice-controlled,1
1,1
shifts,1
potential,1
$13.7,1
which,2
largest,1
many,1
worldwide,1
optimistic,1
plans,1
see,1
earlier,3
includes,2
fast-growing,1
regular,1
The,4
headcount,1
a,7
feet,1
longer,1
programs,1
corporate,1
required,1
well,1
It,1
person,3
part-time,1
"3,900",1
at,1
organization,1
the,11
consumer,2
Its,1
